date,open,high,low,close,volume
2017-01-03,14.845,14.94,13.485,13.72,44725149.0
2017-01-04,13.8,14.04,13.51,13.7,11930070.0
2017-01-05,13.65,14.19,13.65,14.11,7455051.0
2017-01-06,14.19,14.95,14.06,14.63,12016443.0
2017-01-09,14.32,14.4,13.92,13.92,8051967.0
2017-01-10,13.87,14.12,13.33,13.42,10401291.0
2017-01-11,13.55,13.78,13.3,13.31,11058663.0
2017-01-12,13.14,14.32,13.1,13.97,10798337.0
2017-01-13,14.21,14.35,13.75,13.97,6909558.0
2017-01-17,13.8,14.31,13.77,14.19,3303308.0
2017-01-18,14.25,14.58,14.23,14.52,5287705.0
2017-01-19,14.4,14.62,14.35,14.49,4354515.0
2017-01-20,14.58,14.6,14.4,14.46,3819240.0
2017-01-23,14.37,14.57,14.32,14.56,2884999.0
2017-01-24,14.6,14.63,14.41,14.54,3009365.0
2017-01-25,14.55,14.89,14.46,14.82,2931008.0
2017-01-26,14.95,15.38,14.85,15.03,10223467.0
2017-01-27,15.1,15.145,14.85,14.91,1512062.0
2017-01-30,14.87,14.93,14.76,14.85,2721088.0
2017-01-31,14.94,15.11,14.7,14.96,4199605.0
2017-02-01,14.98,14.98,14.64,14.74,2116608.0
2017-02-02,14.68,14.7,14.45,14.51,1397894.0
2017-02-03,14.69,14.95,14.56,14.94,1708772.0
2017-02-06,14.84,14.91,14.56,14.62,1672255.0
2017-02-07,14.64,14.8,14.36,14.57,3487734.0
2017-02-08,14.5,14.559,14.31,14.35,1401519.0
2017-02-09,14.35,14.698,14.11,14.51,1085705.0
2017-02-10,14.55,14.73,14.54,14.56,1376802.0
2017-02-13,14.64,14.73,14.44,14.72,2085361.0
2017-02-14,14.66,15.255,14.66,15.11,2536824.0
2017-02-15,15.11,15.25,15.0,15.12,2028920.0
2017-02-16,15.15,15.19,14.94,15.1,2197310.0
2017-02-17,14.98,15.29,14.86,15.02,2640257.0
2017-02-21,15.0,15.18,15.0,15.09,2672501.0
2017-02-22,15.3,16.65,15.11,16.38,6900717.0
2017-02-23,16.49,17.44,16.4,17.25,5702424.0
2017-02-24,17.07,17.12,15.9,16.97,6099208.0
2017-02-27,16.7,17.11,16.59,16.6,2854588.0
2017-02-28,16.6,16.65,16.035,16.09,2576978.0
2017-03-01,16.23,16.46,15.79,16.31,3030921.0
2017-03-02,16.34,16.365,15.98,15.98,2129294.0
2017-03-03,15.99,16.11,15.895,15.93,2058177.0
2017-03-06,15.9,16.07,15.66,15.67,2508774.0
2017-03-07,15.7,15.73,15.43,15.55,4974261.0
2017-03-08,15.51,16.01,15.485,15.58,5568598.0
2017-03-09,15.54,15.95,15.49,15.61,2477174.0
2017-03-10,15.45,15.72,15.42,15.64,2304369.0
2017-03-13,15.62,15.99,15.59,15.87,1933938.0
2017-03-14,15.8,16.02,15.73,15.96,1680511.0
2017-03-15,15.95,16.14,15.88,16.05,1964985.0
2017-03-16,16.05,16.078,15.63,15.78,2483449.0
2017-03-17,15.82,15.85,15.71,15.74,2890631.0
2017-03-20,15.75,16.09,15.63,16.02,1779771.0
2017-03-21,16.06,16.34,15.85,15.92,3591143.0
2017-03-22,15.89,16.235,15.89,16.04,2021554.0
